TF-IDF Weight,Word2Vec Weight,BiLSTM Weight,Transformer Weight,Accuracy,Macro Precision,Macro Recall,Macro F1
0.5,0.15,0.25,0.1,0.7114026236125126,0.687986957509749,0.6766068765407204,0.6816469145093277
0.4,0.25,0.15,0.2,0.7117389841910529,0.6904263708745682,0.6750416031591255,0.6815240475939565
0.55,0.2,0.1,0.15,0.7124117053481333,0.6874768334005251,0.6770086166873132,0.6815103671240288
0.45,0.15,0.15,0.25,0.7103935418768921,0.6923901465983332,0.6739696215509013,0.6814894398779595
0.4,0.25,0.2,0.15,0.7110662630339725,0.690631141442576,0.6747551812632657,0.6814750253682278
0.4,0.2,0.15,0.25,0.7110662630339725,0.6914580225047909,0.6745545662928716,0.6814733790428424
0.45,0.1,0.25,0.2,0.7100571812983518,0.6931181174780287,0.6729978181124636,0.6813796125342695
0.6,0.25,0.1,0.05,0.7127480659266734,0.6816982209190023,0.6816016295819791,0.6813751515609086
0.35,0.1,0.25,0.3,0.7097208207198117,0.697101639854213,0.6708821774686083,0.6813407100295352
0.6,0.1,0.05,0.25,0.7090480995627313,0.6908129271790194,0.6748382577665775,0.681298708702158
0.7,0.1,0.05,0.15,0.7110662630339725,0.6852023918299635,0.6785337098163882,0.6812773136265321
0.3,0.25,0.15,0.3,0.7103935418768921,0.6935478656452789,0.6730185609662205,0.6812587989132199
0.4,0.1,0.3,0.2,0.7090480995627313,0.6949293437456523,0.6716623061210449,0.6812145518374826
0.55,0.15,0.1,0.2,0.7100571812983518,0.6902570076815078,0.6746820355715761,0.6812119086323508
0.45,0.25,0.2,0.1,0.7110662630339725,0.6876655153226021,0.6762220817082176,0.681196419540756
0.35,0.2,0.15,0.3,0.7100571812983518,0.6938152621994764,0.672741417747676,0.6811690671922626
0.35,0.05,0.25,0.35,0.708711738984191,0.6975453848853002,0.670378023575382,0.6811350492116581
0.45,0.25,0.1,0.2,0.7114026236125126,0.6889361767193525,0.6751781794022628,0.6809831550870982
0.4,0.05,0.3,0.25,0.7093844601412714,0.6968796867148467,0.6702219730932633,0.6809327838584459
0.35,0.25,0.15,0.25,0.7103935418768921,0.6915468470731573,0.6734537816906303,0.6809133551990889
0.45,0.3,0.2,0.05,0.7114026236125126,0.6843137329162274,0.6780776961605011,0.6808643232701452
0.65,0.15,0.05,0.15,0.7107299024554322,0.6847844684818323,0.6781449958090567,0.6808617223649368
0.6,0.2,0.05,0.15,0.7103935418768921,0.6845588832224523,0.6779526842492466,0.6807068550698496
0.55,0.1,0.25,0.1,0.7103935418768921,0.6868086480595478,0.6757911235844015,0.6806810290063827
0.4,0.1,0.15,0.35,0.7093844601412714,0.6959748595819122,0.6706047409020196,0.6805338351351428
0.45,0.2,0.15,0.2,0.7107299024554322,0.6892940712303195,0.6741661456335843,0.680518056217943
0.6,0.2,0.1,0.1,0.712075344769593,0.6840603843771457,0.677644037398911,0.6804800333089566
0.35,0.1,0.3,0.25,0.7097208207198117,0.6950148619869456,0.6704394117425856,0.6803946722867569
0.45,0.05,0.15,0.35,0.7090480995627313,0.6958801879430688,0.670327597683475,0.6803409619048222
0.5,0.15,0.1,0.25,0.7093844601412714,0.6908756188940806,0.6730651177610194,0.6803139521468101
0.45,0.2,0.1,0.25,0.7097208207198117,0.6903438410608436,0.6732574293208295,0.6802338800786089
0.6,0.25,0.05,0.1,0.7114026236125126,0.6814139271157382,0.6796134582168283,0.6802197044157332
0.55,0.1,0.1,0.25,0.7093844601412714,0.6904257934172151,0.673103614415558,0.6801752635846577
0.3,0.3,0.2,0.2,0.7093844601412714,0.6896710600868351,0.6732350744265325,0.6801573339714082
0.55,0.05,0.1,0.3,0.7090480995627313,0.6918967495623038,0.6724297471271423,0.6801500247480269
0.25,0.25,0.25,0.25,0.7103935418768921,0.6935635818107821,0.671078529838409,0.6801495875706357
0.5,0.1,0.1,0.3,0.708711738984191,0.6920701333867579,0.6721565230834264,0.6800549783794977
0.5,0.25,0.1,0.15,0.7107299024554322,0.6858157081516019,0.675625207728879,0.6800116399248061
0.4,0.15,0.25,0.2,0.7093844601412714,0.6914080929289017,0.6717854627214355,0.6799298387748811
0.35,0.15,0.3,0.2,0.708711738984191,0.6934221212285914,0.6705362227164089,0.6799135481132919
0.3,0.25,0.25,0.2,0.7100571812983518,0.6917423918463833,0.6715945414115625,0.6799053860398845
0.45,0.25,0.15,0.15,0.7103935418768921,0.6872665422721116,0.6743069343995947,0.6798702923997655
0.25,0.2,0.3,0.25,0.7103935418768921,0.6937845141866241,0.6704393616648651,0.6798454390436994
0.6,0.1,0.25,0.05,0.7100571812983518,0.6840985618853375,0.6762340610233067,0.6797885514310711
0.5,0.2,0.1,0.2,0.7097208207198117,0.6880225164488805,0.6737774817039737,0.679770074263333
0.55,0.25,0.1,0.1,0.7110662630339725,0.6831587407752527,0.6769476935810363,0.6796982954317449
0.4,0.15,0.3,0.15,0.708711738984191,0.6906483381177227,0.671606692439534,0.6796582737888863
0.65,0.25,0.05,0.05,0.7114026236125126,0.6788965509056528,0.6809821574380196,0.6796153650204324
0.35,0.05,0.3,0.3,0.7080390178271107,0.6970958216061963,0.6682031434232313,0.6796093337411087
0.4,0.3,0.2,0.1,0.7093844601412714,0.6858849354062282,0.6747153444365106,0.6796080316424101
0.35,0.2,0.25,0.2,0.7093844601412714,0.6906901025902026,0.6716872614976748,0.6795702728934484
0.3,0.1,0.25,0.35,0.7080390178271107,0.6967109957567958,0.6685092112709548,0.6795509452343195
